home gNB ID,gNB Numeric ID,Home Cell ID,Home Cell Global Cell ID,Neighbour Cell Info
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358497709
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358497708
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358497707
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357837997
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357837996
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357837995
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358109869
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358109868
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358109867
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358076845
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358076844
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358076843
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358532781
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358532780
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358532779
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358515629
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358515628
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358515627
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358109357
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358109356
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358109355
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358428845
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358428844
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358428843
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358118061
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358118060
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358118059
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358473133
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358473132
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358473131
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358014381
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358014379
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358014380
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358030509
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358030508
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358030507
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358512045
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358512044
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358512043
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358020013
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358020012
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358020011
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357982381
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357982380
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357982379
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358464941
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358464940
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358464939
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358043821
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358043819
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358043820
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357987245
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357987244
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357987243
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358446765
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358446764
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358446763
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358502573
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358502572
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358502571
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358020269
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358020267
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358020268
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357834412
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357834411
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357834413
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358511021
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358511020
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358511019
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358531245
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358531244
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358531243
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358509740
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358509739
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358509741
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358482091
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358482093
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358482092
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358532525
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358532523
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358532524
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358527149
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358527148
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358527147
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358528173
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358528172
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358528171
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358529709
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358529708
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358529707
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358524845
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358524844
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358524843
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357785517
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357785516
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357785515
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358079661
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358079660
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358079659
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358107053
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358107052
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358107051
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358502829
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358502828
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358502827
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358477997
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358477996
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358477995
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358511277
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358511276
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358511275
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358488237
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358488236
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358488235
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358435501
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358435500
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358435499
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358523565
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358523564
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358523563
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358470828
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358470829
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358470827
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357803436
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357803435
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357803437
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358487725
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358487724
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358487723
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358504109
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358504108
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358504107
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358448557
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358448556
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358448555
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358520493
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358520492
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358520491
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358436269
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358436268
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358436267
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358511789
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358511788
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358511787
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358113709
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358113708
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358113707
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357841837
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357841836
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357841835
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358515885
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358515884
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358515883
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358525613
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358525612
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358525611
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358459309
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358459308
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358459307
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357978797
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357978796
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357978795
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358075821
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358075820
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358075819
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358126253
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358126251
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358126252
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357792173
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357792172
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357792171
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358519981
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358519980
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358519979
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357836715
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357836717
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto357836716
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358524333
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358524332
5G-HPE002,1397593,5G-HPE002-35-MA,NR_634080,auto358524331
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357987245
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357987244
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357987243
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358076845
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358076844
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358076843
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358446765
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358446764
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358446763
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358515629
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358515628
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358515627
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358524333
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358524332
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358524331
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357837997
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357837996
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357837995
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358525613
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358525612
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358525611
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358515885
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358515884
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358515883
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358480045
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358480044
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358480043
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358509741
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358509740
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358509739
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358030509
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358030508
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358030507
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358020013
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358020012
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358020011
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358020269
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358020268
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358020267
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358043821
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358043819
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358043820
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358109869
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358109868
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358109867
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357783979
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357783981
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357783980
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358482091
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358482093
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358482092
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357841835
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357841837
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357841836
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358529709
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358529708
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358529707
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358527149
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358527148
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358527147
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358488237
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358488236
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358488235
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357785516
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357785515
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357785517
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358528173
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358528172
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358528171
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358079661
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358079660
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358079659
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358497709
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358497708
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358497707
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358107053
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358107052
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358107051
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358532525
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358532524
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358532523
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358470829
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358470828
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358470827
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358523565
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358523564
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358523563
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358505645
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358505644
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358505643
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358502573
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358502572
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358502571
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358473133
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358473132
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358473131
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358487725
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358487724
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358487723
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358511021
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358511020
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358511019
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358126253
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358126252
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358126251
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358520493
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358520492
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358520491
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358524845
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358524844
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358524843
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358477997
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358477996
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358477995
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358511789
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358511788
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358511787
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357834413
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357834412
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357834411
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358435501
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358435500
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358435499
